Pays,Lat,Long,Date,Deces
Autriche,47.200033,13.199959,2020-04-18,443
,,,,
Autriche,47.200033,13.199959,2020-04-17,431
,,,,
Autriche,47.200033,13.199959,2020-04-16,410
,,,,
Autriche,47.200033,13.199959,2020-04-15,393
,,,,
Autriche,47.200033,13.199959,2020-04-14,384
,,,,
Autriche,47.200033,13.199959,2020-04-13,368
,,,,
Autriche,47.200033,13.199959,2020-04-12,350
,,,,
Autriche,47.200033,13.199959,2020-04-11,337
,,,,
Autriche,47.200033,13.199959,2020-04-10,319
,,,,
Autriche,47.200033,13.199959,2020-04-09,295
,,,,
Autriche,47.200033,13.199959,2020-04-08,273
,,,,
Autriche,47.200033,13.199959,2020-04-07,243
,,,,
Autriche,47.200033,13.199959,2020-04-06,220
,,,,
Autriche,47.200033,13.199959,2020-04-05,204
,,,,
Autriche,47.200033,13.199959,2020-04-04,186
,,,,
Autriche,47.200033,13.199959,2020-04-03,168
,,,,
Autriche,47.200033,13.199959,2020-04-02,158
,,,,
Autriche,47.200033,13.199959,2020-04-01,146
,,,,
Autriche,47.200033,13.199959,2020-03-31,128
,,,,
Autriche,47.200033,13.199959,2020-03-30,108
,,,,
Autriche,47.200033,13.199959,2020-03-29,86
,,,,
Autriche,47.200033,13.199959,2020-03-28,68
,,,,
Autriche,47.200033,13.199959,2020-03-27,58
,,,,
Autriche,47.200033,13.199959,2020-03-26,49
,,,,
Autriche,47.200033,13.199959,2020-03-25,30
,,,,
Autriche,47.200033,13.199959,2020-03-24,28
,,,,
Autriche,47.200033,13.199959,2020-03-23,21
,,,,
Autriche,47.200033,13.199959,2020-03-22,16
,,,,
Autriche,47.200033,13.199959,2020-03-21,8
,,,,
Autriche,47.200033,13.199959,2020-03-20,6
,,,,
Autriche,47.200033,13.199959,2020-03-19,6
,,,,
Autriche,47.200033,13.199959,2020-03-18,4
,,,,
Autriche,47.200033,13.199959,2020-03-17,3
,,,,
Autriche,47.200033,13.199959,2020-03-16,3
,,,,
Autriche,47.200033,13.199959,2020-03-15,1
,,,,
Autriche,47.200033,13.199959,2020-03-14,1
,,,,
Autriche,47.200033,13.199959,2020-03-13,1
,,,,
Autriche,47.200033,13.199959,2020-03-12,1
,,,,
Autriche,47.200033,13.199959,2020-03-11,0
,,,,
Autriche,47.200033,13.199959,2020-03-10,0
,,,,
Autriche,47.200033,13.199959,2020-03-09,0
,,,,
Autriche,47.200033,13.199959,2020-03-08,0
,,,,
Autriche,47.200033,13.199959,2020-03-07,0
,,,,
Autriche,47.200033,13.199959,2020-03-06,0
,,,,
Autriche,47.200033,13.199959,2020-03-05,0
,,,,
Autriche,47.200033,13.199959,2020-03-04,0
,,,,
Autriche,47.200033,13.199959,2020-03-03,0
,,,,
Autriche,47.200033,13.199959,2020-03-02,0
,,,,
Autriche,47.200033,13.199959,2020-03-01,0
,,,,
Autriche,47.200033,13.199959,2020-02-29,0
,,,,
Autriche,47.200033,13.199959,2020-02-28,0
,,,,
Autriche,47.200033,13.199959,2020-02-27,0
,,,,
Autriche,47.200033,13.199959,2020-02-26,0
,,,,
Autriche,47.200033,13.199959,2020-02-25,0
,,,,
Belgique,50.728141,4.511679,2020-04-28,7331
,,,,
Belgique,50.728141,4.511679,2020-04-27,7207
,,,,
Belgique,50.728141,4.511679,2020-04-26,7094
,,,,
Belgique,50.728141,4.511679,2020-04-25,6917
,,,,
Belgique,50.728141,4.511679,2020-04-24,6679
,,,,
Belgique,50.728141,4.511679,2020-04-23,6490
,,,,
Belgique,50.728141,4.511679,2020-04-22,6262
,,,,
Belgique,50.728141,4.511679,2020-04-21,5998
,,,,
Belgique,50.728141,4.511679,2020-04-20,5828
,,,,
Belgique,50.728141,4.511679,2020-04-19,5683
,,,,
Belgique,50.728141,4.511679,2020-04-18,5453
,,,,
Belgique,50.728141,4.511679,2020-04-17,5163
,,,,
Belgique,50.728141,4.511679,2020-04-16,4857
,,,,
Belgique,50.728141,4.511679,2020-04-15,4440
,,,,
Belgique,50.728141,4.511679,2020-04-14,4157
,,,,
